# Copyright Notice:  Al Jones 2005 - 2013
# License: This file in its original form may be distributed freely.
# This file may be modified for personal use only; any modified version
# of this file may not be distributed or published by any means.

# I'd like to remind you all that FontOrg is a shareware program.
# It takes a considerable amount of time to update it and its asscociated files.
# If you find yourself using it on a regular basis I'd appreciate you tipping
# something into my PayPal Account.  The link to it can be found at FontOrg.us
# Thanks //al

#  Where I havent found a foundry - as a last resort - lets stick
#  it into a folder of the program that created them

by ALLTYPE	_AllType
Deutsche Bahn AG	Deutsche Bahn AG
Device font	Device Fonts
rian Hughes	Device Fonts
Dewitt Anthony Inc	Dewitt Anthony Inc
Dezyne	Dezyne
DF667 Font Foundry	DF667 Font Foundry
Diagnostik Foundation	Diagnostik Foundation
diagram_attacks	Diagram Attacks
Diaulo Graphics	Diaulo Graphics
Dick Pape	Dick Pape
Digitized by TTD	Dick Pape
Digitized by TDD	Dick Pape
Die Gestalten Verlag	Die Gestalten Verlag
die Typonauten	die Typonauten
Diehl.Volk Typographics	Diehl Volk Typographics
Dieznyik	Dieznyik
Digidea Studio	Digidea Studio
DIGIGA	Digiga
Digital Architect Software Company	Digital Architect Software Company
Digital Attitudes	Digital Attitudes
Digital Dog Graphics	Digital Dog Graphics
Digital Download	Digital Download
DigitalDreamDesign	Digital Dream Design
Digital Empires	Digital Empires
Digital Equipment Corp	Digital Equipment Corp
Digital Font Labs	Digital Font Labs
Digital Graphic Labs	Digital Graphic Labs
Digital Ink	Digital Ink
Digital Oasis	Digital Oasis
Ersenak Xtreme	Digital Perfection
DigitalPionoese	Digital Pionoese
digital pr8	Digital PR8
Digital Quill Foundry	Digital Quill Foundry
Digital Research	Digital Research
dsplace.com	Digital Scrapbook Place
by Digital Type	Digital Type
199? Digital Type Foundry	Digital Type Foundry
200? Digital Type Foundry	Digital Type Foundry
digital type hamburg	Digital Type Hamburg
Digital Typeface Corp	Digital TypeFace Corporation
Digital Typography	Digital Typography
Digital Works Upside K	Digital Works Upside K
Digiteyes Multimedia	Digiteyes Multimedia
Dilworth Typographics	Dilworth Typographics
DiNaMiT? On-LiNe	DiNaMiT
DincType	Dinc Type
girlswhowearglasses.com	Dinc Type
DingBatCave	Dingbat Cave
DingBatHeaven	Dingbat Heaven
Dingbats-UK	Dingbats UK
DingBrats	DingBrats
dino art	Dino Art
DINOtype	Dinotype
Dirt2.com	Dirt2.com
1992 distant	Distant
Matt Petty	Disturbed
Matthew Austin Petty	Disturbed
Mattthew Austin Petty	Disturbed
www.disturbed.com	Disturbed
Divide by Zero	Divide by Zero
(c)Diwan	Diwan Software Ltd
Diwan Science and 	Diwan Software Ltd
Diwan Software Ltd	Diwan Software Ltd
Dixie's Delights	Dixie's Delights
Dizzinz	Dizzinz Studio
DJMonkeyBoy	DJ Monkey Boy
Dmitry Prosvirnin Lab	Dmitry Prosvirnin Lab
dnf fonts	DNF Fonts
DobiType	Dobi Type
DogStar	Dog Star
Doma & Paradius	Doma & Paradius
DooleyType	Dooley Type
Jeremy Dooley	Dooley Type
Dotspot Graphics	Dotspot Graphics
double alex	Double Alex Font Studio
DoubleAlex	Double Alex Font Studio
doubletwo studios	doubletwo studios
Dan X. Solo	Dover Publication
#Dover Public	Dover Type Foundry
Dover Type Foundry	Dover Type Foundry
Dow Jones & Company	Dow Jones & Company
DownHill Fonts	DownHill Fonts
draftlight	Draftlight Band Foundry
dragon design	Dragon Design
DragonFang Fonts	Dragon Fang Fonts
Dragon's Den Type	Dragon's Den Type Foundry
DragynWulf Productions	Dragynwulf Productions
Dramatic Exotic Forever	Dramatic Exotic Forever
Dreadful Productions	Dreadful Productions
DreamFonts	Dream Fonts
Dream Pool	Dream Pool
DriftType	Drift Type
Drop Design	Drop Design
Drutten & Krokodilen	Drutten & Krokodilen Company
ds design	DS design
D's Fonts	D's Fonts
DSType	DSType
dsg4.com	dsg4.com
#dtl datamaster	DTL Datamaster	generation program for dutch type library
DTP-Software	DTP Software
©DTP LTD	DTP LTD
DTP Types	DTP Types
dtptypes	DTP Types
Dubl-Click Software	Dubl Click Software
DustFonts	Dust Fonts
dustBUST	Dustbust Fonts
duysBUST Fonts	Dustbust Fonts
Dutch Design	Dutch Design
Dutch Type Library	Dutch Type Library
duxbury systems	Duxbury Systems
DVSoft	DV Soft
DVDCre8	DVDCre8
DVM Publications	DVM Publications
DynaLab	Dyna Lab
DynaLink Group	Dyna Link Group
DynaComWare Corp	DynaComWare Corp
dinamo.typerware	Dynamo Typerware
E. D Fonts	E D Fonts
E-Signature Digital Graphics	E Signature Digital Graphics
E-Typography	E Typography
E.W.T. Consulting	E.W.T. Consulting
Ear Pickles	Ear Pickles
Eastern Language	Eastern Language Systems
Eastern Languags	Eastern Language Systems
Eatern Language	Eastern Language Systems
ECO Kommunikation	ECO Kommunikation
Educational Fontware	Educational Fontware
199? EDUSOFT	EDUSOFT
(c) Efusion	Efusion
EighthWaveDigital	Eighth Wave Digital
www.elbow.com	Elbow.com
EleFont	Ele Font
electric canvas	Electric Canvas
Electric Rain	Electric Rain
Electric Typographer	Electric Typographer
Electronic Book Technologies	Electronic Book Technologies
electronic font foundry	Electronic Font Foundry
Electronic Font Open Laboratory	Electronic Font Open Laboratory
the electronic studio	Electronic Studio
Electropithecus	Electropithecus
Elemeno	Elemeno Fonts
elfring fonts	ElfRing Soft Fonts
ElfRing Soft	ElfRing Soft Fonts
Elisabeth Megnet	Elisabeth Megnet
EliteEntertainment	Elite Entertainment
Ellipsis Design	Ellipsis Design
ELMI Software	ELMI Software
el nag	Elnag Systems
elnag systems	Elnag Systems
Elphone	Elphone
Elsevier Science	Elsevier Science
ElseWare	ElseWare
elsner + flake	Elsner + Flake
Elsner+Flake	Elsner + Flake
Guenther Flake GbR	Elsner + Flake
"RWE, Germany"	Elsner + Flake
emdash font	Em Dash Fonts
Emboss Fonts	Emboss Studio
Emboss Studio	Emboss Studio
emerald city font	Emerald City Font Works
emigre	Emigre
Emily Lime Design	Emily Lime Design
EMPERORSOFT/TETSU	Emperorsoft
EMPiK sp.	EMPiK sp
ENDIE 200?	Endie
enivri.net	Enivri
enrich design	Enrich Design
ensched font foundry	Ensched Font Foundry
Ensched? Font	Ensched Font Foundry
Ensched\216 Font Foundry	Ensched Font Foundry
Ensched216 Font Foundry	Ensched Font Foundry
enStep Corporation	EnStep Incorporated
EnStep Incorporated	EnStep Incorporated
Eoin Design	Eoin Design
EosNet	EosNet
E-phemera Fonts	E-phemera Fonts
epic games	Epic Games
Epiphany Design Studio	Epiphany Design Studio
EPS Fonts	EPS Fonts
epytonef	Epytonef
EraMan	EraMan
ES Typography	ES Typography
Copyright by ESA	ESA
Esa Anttikoski	Esa Anttikoski
Esoteric Technologies	Esoteric Technologies
EspyGraphics	Espy Graphics
ESRI	ESRI
ess works	ESS Works
Estudio Lambda	Estudio Lambda
ETen Infomation System Co	ETen Information System
ETen Information System	ETen Information System
Eternal Maelstrom Studios	Eternal Maelstrom Studios
Typeface ? ETH	ETH Zurich
etherbrian	Etherbrian
EtherealCat	Ethereal Cat
Ethno Multimedia	Ethno Multimedia
e-Types AS	e-Types AS
euphoria graphic design inc	Euphoria Graphic Design
(c) EuroFONT	Euro Font
Euroset	Euroset
Eurotype	Eurotype
Eurotypo	Eurotypo
e ?val monkeys	Eval Monkeys
Every Witch Way	Every Witch Way
Evil Clown	Evil Clown
Excalibur Communications	Excalibur Communications
exclamachine	Exclamachine Type Foundry
Exclamat?ons	Exclamations
Exigent Information Solutions	Exigent Information Solutions
exljbris	exljbris Foundry
Jos Buivenga	exljbris Foundry
exoticfonts.com	Exotic Fonts
Expert Alphabets International	Expert Alphabets International
Exposed-Pixels	Exposed Pixels
extra designs	Extra Designs
EyeCue Design	EyeCue Design
EyeSaw Fontz	EyeSaw Fontz
eysaw	EyeSaw Fontz
EyeWare	EyeWare
eyewire, inc	Eyewire Inc
F25	F25 Digital Typeface
www.fsd.it	Fabrizio Schiavi Design
Fabrizio Schiavi	Fabrizio Schiavi Design
czyk	Face 2 Face
face2face	Face 2 Face
Rick Banks	Face 37
Face37	Face 37
Face 37	Face 37
FaceType	FaceType
Factor Design	Factor Design
Faizal Reza	Faizal Reza
Family Health International	Family Health International
Famous Fonts	Famous Fonts
Fanatico Productions	Fanatico Productions
Fancy Media	Fancy Media
Fantasy Inspirations	Fantasy Inspirations
Fantazia	Fantazia Fonts
fatorcaos.com	fatorcaos
FDI - fonts.	FDI fonts
FEB Software	FEB Software
felciano type foundry	Feliciano Type Foundry
feliciano type foundry	Feliciano Type Foundry
Fenix Fonts	Fenix Fonts
fenotyp	Fenotype
Fewell Foundry	Fewell Foundry
Fey Productions	Fey Productions
Fickle Fonts	Fickle Fonts
Fidel Peugeot	Fidel Peugeot
Copyright (c) 200? FIFA	FIFA World Cup
FIFA	FIFA World Cup
Filmotype Corp	Filmotype Corp
Filtered Fonts	Filtered Fonts
Financial Peril Publishing	Financial Peril Publishing & Design
fine fonts	Fine Fonts
Finefont Foundry	Finefont Foundry
Fingertip Software	Fingertip Software
Finley's Barcode Fonts	Finley's Barcode Fonts
FireBug	Fire Bug
Firmin Didot	Firmin Didot
Fish Dicks	Fish Dicks
FishDicks	Fish Dicks
www.fishscraps.com	FishScraps
Five Points Technology	Five Points Technology
fizzbomb	Fizz Bomb
FlashFont	Flash Font
Flat It	Flat It Type Foundry
Ryoichi Tsunekawa	Flat It Type Foundry
FlatWave	Flat Wave
Flava	Flava Fontz
Flemming Dupont	Flemming Dupont
Flight of the Dragon	Flight Of The Dragon
FloodFonts	Flood Fonts
Flop Design	Flop Design
Flotsam Creation	Flotsam Creation
Fluent Laser Fonts	Fluent Laser Fonts
Foam Train Fonts	Foam Train Fonts
font21.com	Font 21
FontAddict	Font Addict
Fontaxe Digitype	Font Axe Digitype
Font-Axe Digitype	Font Axe Digitype
FontBank	Font Bank
Font Boutique	Font Boutique
Fontboutique	Font Boutique
FontBoy	Font Boy
Font Bureau	Font Bureau
The Font Bureau, Inc	Font Bureau
Font Cabinet	Font Cabinet
www.fontcity.ru	Font City
the Font Company	Font Company
FONT de MATERIAL	Font de Material
FONTdeMATERIAL	Font de Material
Font Diner	Font Diner
font divine	Font Divine
Puey Ounai	Font dot com
Puey Ounjai	Font dot com
Font Emporium	Font Emporium
Font Fabric	Font Fabric
Fontfabric	Font Fabric
FontFace	Font Face
Font Factory	Font Factory
Font Farm	Font Farm
FONTFARM	Font Farm
Font Fillibuster	Font Fillibuster
FontFont	Font Font
FontFont	Font Font
FontFreak	Font Freak
Font Gangsta	Font Gangsta
Font Garden	Font Garden
Fontgarden	Font Garden
TheFontGoddess	Font Goddess
FontGrube AH	Font Grube AH
FontHouse	Font House
Font?Jungle?Cafe	Font Jungle Cafe
fontkitchen	Font Kitchen
FontMageren	Font Mageren
Font Maker	Font Maker
FontMesa	Font Mesa
FontMonk	Font Monk
Font Monkey	Font Monkey
FontMonkey	Font Monkey
FontMonster	Font Monster
FontParty	Font Party
font salon	Font Salon
FontSite	Font Site
Titus Nemeth	Font Smith
Jason Smith	Font Smith
FontSmith	Font Smith
Font Source	Font Source
Font World	Font World
Font Zone Fonts	Font Zone Fonts
Fontageous	Fontageous
Fontaholics Anonymous	Fontaholics Anonymous
Fontain	Fontain
"Font ? ?licious Fonts"""	Fontalicious Fonts
Font??a??licious	Fontalicious Fonts
Font?a?licious	Fontalicious Fonts
Font\245a\245licious Fonts	Fontalicious Fonts
Fontalicious	Fontalicious Fonts
Globitron	Fontalicious Fonts
fontanatype	fontanatype
FontasyLand	Fontasy Land
FontDesigner Amiga	Fontdesigner Amiga
Fonteria	Fonteria
fontgraphic.com	Fontgraphic
FontHaus	FontHaus
Ethan Dunham	FontHead Design
FontHead Design	FontHead Design
Fontisserie Group	Fontisserie Group
FontLand	FontLand
fontmill foundry	Fontmill Foundry
Fonto Machina	Fonto Machina
Fontocide	Fontocide
Fontological Foundry	Fontological Foundry
Fontomania	Fontomania
Fontomas	Fontomas
Fontomatic 1.0	Fontomatic 1.0
Fontosaurus	Fontosaurus
FontoVille	FontoVille
Fontron Foundry	Fontron Foundry
Fonts Anon	Fonts Anon
Fonts etc	Fonts etc.
Fonts For Flash	Fonts For Flash
kevinandamanda	Fonts For Peas
Fonts For Peas	Fonts For Peas
fontsforpeas	Fonts For Peas
Fonts Galore	Fonts Galore
Fonts Ink	Fonts Ink
FontsnThings	Fonts n Things
Fonts on Crack	Fonts On Crack
FontsUK	Fonts UK
Tom Kennedy	Fonts, Letterhead
Fonts-A-Go-Go	Fonts-A-Go-Go
Fonts A Go-Go	Fonts-A-Go-Go
FontsayLand	FontsayLand
Fontscafe	FontsCafe
FontShop	FontShop International
FSI Fonts	FontShop International
Fontsie's Fantastic Font	Fontsie's Fantastic Font Folio
Fontstage	Fontstage
Fontstage	Fontstage
FontStruct	FontStruct
Fontype Freebies	Fontype Freebies
foopy	Foopy
foopy.com	Foopy Ware
FoopyWare	Foopy Ware
FootNote Fonts	Foot Note Fonts
F?Rd 1997	Ford
ForeverDark	Forever Dark
form_substance	Form Substance
Formula Solutions	Formula Solutions
FORTECH	Fortech
FotoStar Int	FotoStar Int
Founder Corporation	Founder Corporation
Founatin	Fountain
Fountain	Fountain
by Fox	Fox
Fraksoft Freeware	Fraksoft Freeware
Frank Lloyd Wright Foundation	Frank Lloyd Wright Foundation
FreakyBunny	Freaky Bunny
FreakyFonts	Freaky Fonts
Fred Fowler	Fred Fowler
FREE LAO FONTS	Free Lao Fonts
Free Programmers Software	Free Programmers Software
Freemesmo	Freemesmo
Freeware Designs	Freeware Designs
freshmedia	Freshmedia
FRESKO DESIGN	Fresko Design
FROZAN FONT	Frozan Font
FSM Plus	FSM Plus
FT Content Provider	FT Content Provider
F¸hrmann Software	Fuehrmann Software Service
Fuehrmann Software Service	Fuehrmann Software Service
Fuenfwerken	Fuenfwerken Design AG
fuelfonts type foundry	Fuel Fonts Type Foundry
FuelFontsTypeFoundry	Fuel Fonts Type Foundry
F?hrmann Software	Fuhrmann Software
Copyright Fujitsu	Fujitsu
Copyright  Fuka Fontcop Inc.	Fuka Fontcop
Fuka Fontcop Inc	Fuka Fontcop
fulcrum	Fulcrum
of Neufville	Fundicion Tipografica Neufville	# adobe
Fundicion Tipografica Neufville	Fundicion Tipografica Neufville	# adobe
Funky Fonts Inc	Funky Fonts
Funky Type Inc	Funky Type Inc
Funny Garbage	Funny Garbage
fuse 18	Fuse
FuseLab	Fuse Lab
Fusion MultiMedia	Fusion MultiMedia
Future Corporation	Future Corporation
Future Fonts	Future Fonts
FutureFonts	Future Fonts
Future Playtime	Future Playtime
Future Soft Egypt	Future Soft Egypt
FuzzyPeg	Fuzzy Peg
g2systems	G2systems
GagaFonts	Gaga Fonts
Gaia Production	Gaia Production
Gail Blumberg	Gail Blumberg
work by Galapagos!	Galapagos Design Group
Galapagos Design Group	Galapagos Design Group
Galaxie Software	Galaxie Software
GALAXY 2001	GALAXY 2001
GalaxyCorp	Galaxy Corp
Gallofonts	Gallo Fonts
Gamaliil Project	Gamaliil Project
gamma productions	Gamma Productions
GarageFonts	Garage Fonts
Rodneysheldenfehsenfeld	Garage Fonts
Garbanzo Garden	Garbanzo Garden
Garfunkel Factory	Garfunkel Factory
GAS Inform·tica	GAS Inform·tica
Gaslight	Gaslight
GautFonts	Gaut Fonts
gavillet & rust	Gavillet & Rust
1994 GCW	GCW
GD Fonts	GD Fonts
GeezFont	Geez Font
Ge'ez Frontiers Foundation	Ge'ez Frontiers Foundation
GeigerArtwork	Geiger Artwork
Gem/ff	GeM Fonts
GemFonts	GeM Fonts
gen@webtype.org	Gen
General Glyphics	General Glyphics
Genocide Graphixxx	Genocide Graphixxx
GENOCIDEGRAPHIXXX	Genocide Graphixxx
German Cartographic Design	German Cartographic Design
Freakware by Ghoulish	Ghoulish
GHS WEB GRAPHICA	Ghs Web Graphica
Gia Shervashidze	Gia Shervashidze
Giada Ghiringhelli	Giada Ghiringhelli
Giambattista Bodoni	Giambattista Bodoni
Giancarlo Barison	Giancarlo Barison
"Gideon, Inc"	Gideon Inc
"Rob Leushhke for Gideon, Inc"	Gideon Inc
glavyfonts	Glavy Fonts
GLITCHFONTS	Glitch Fonts
GlitschkaStudios	Glitschka Studios
Globes	Globes
Globitron	Globitron
Glorious Creations	Glorious Creations
GlueBoy International	GlueBoy International
Glyph Systems	Glyph Systems
GMDemo	GM Demo
GMG Foundry	GMG Foundry
Go Media Inc	Go Media Inc
GoatPatch Delux	Goat Patch Delux
Goatee	Goatee
3GOHSEN ?GRAPHICS	Gohsen Graphics
Golan Levin	Golan Levin
Golden Software	Golden Software
Goldgraeber	Goldgraeber
Goobleez Brothers	Goobleez Brothers
GoodsRiver	Goods River
Googe & King Buffalo Graphics	Googe & King Buffalo Graphics
Google Corp	Google Corp
GorillaBlu	Gorilla Blu
Grade One Graphics	Grade One Graphics
Graff-X	Graff X
Grafik Solutionz	Grafik Solutionz
Grafikerler	Grafikerler
GRAFITO DESIGN	Grafito Design
GraphAttack	Graph Attack
Graphic Ar??s	Graphic Arts
Graphic Arts Unit	Graphic Arts Unit
graphi bureau	Graphic Bureau
graphi\361 bureau	Graphic Bureau
Graphic Bureau	Graphic Bureau
Az-Zet	Graphic bureau Az-Zet
GraphicCompulsion	Graphic Compulsion
Graphic Galaxy	Graphic Galaxy
graphic groove	Graphic Groove
Graphic Illusions	Graphic Illusions
Graphic Service/GBL	Graphic Service
GraphicType	Graphic Type
Graphics by Gallo	Graphics by Gallo
Graphis	Graphis
Graphniques Software	Graphniques Software
Graphx Edge	Graphx Edge
Grass Onions	Grass Onions
Gravity Switch	Gravity Switch
Gravy Fonts	Gravy Fonts
Gray Graphics	Gray Graphics
GreatWall Computer	Great Wall Computer
Greater Albion	Greater Albion Typefounders
greatland corporation	Greatland Corporation
greek font society	Greek Font Society
DarkSide Productions	GreyWolf WebWorks
GreyWolf WebWorks	GreyWolf WebWorks
GrilledCheese	Grilled Cheese
Gringosno	Gringosno
Grixel	Grixel
Grosse Pointe Group	Grosse Pointe Group
Group W	Group W
Grover Graphics	Grover Graphics
Grudnuk	Grudnuk Creations
G -Type	G-Type
G-Type	G-Type
Guava Graphics	Guava Graphics
Gudrun Zapf-von Hesse	Gudrun Zapf Von Hesse
guerilla fonts	Guerilla Fonts
guerillafonts	Guerilla Fonts
Guess Who	Guess Who
Guillemot Corporation	Guillemot Corp
Guru Graphics	Guru Graphics
gust.org	Gust
hacen.net	Hacen
Hacienda Software	Hacienda Software
HADARI GRAPHICS	Hadari Graphics
Haike	Haike
Hairy Twat	Hairy Twat
HallMark Cards	HallMark Cards
Hallmark Design	Hallmark Design Studios
HallOGram Publishing	HallOGram Publishing
HamoonSoft	HamoonSoft
Han-Media	Han Media
HanakoTakeuti	Hanako Takeuti
HandCraftedFonts	HandCrafted Fonts
Andrew Hullinger	Handmade Alphabets
Handmade Alphabets	Handmade Alphabets
HanYang System	HanYang System
HanYang I&C	HanYang System
HANYI KEYIN	HANYI KEYIN
Happy Goblin Design Font	Happy Goblin Design Font
Haran Graph	Haran Graph
Harbingers Inc	Harbingers Inc
HardSoft Solutions	Hard Soft Solutions
Hardip Singh Pannu	Hardip Singh Pannu
Harmony Printer font	Harmony Printer Fonts
haroldsfonts.com	Harolds Fonts
harris design	Harris Design
Havana Productions	Havana Productions
Have Fun with Fonts	Have Fun with Fonts
HaxrCorp	HaxrCorp
HBFF	HBFF
Headfirst	HeadFirst
Headliners	Headliners
helldunkel	Helldunkel Design
hermessoft	HermesSoft Cc
Hewlett-Packard	Hewlett Packard
Hey Rube	Hey Rube
hg design	HG Design
Hidden-Jewels	Hidden Jewels
Hiekka Graphics	Hiekka Graphics
Typeface ? High-Logic	High Logic
highground industries	Highground Industries
Highlander Graphics Software	Highlander Graphics Software
Typeface ? High-Logic	High-Logic
HiH Retrofonts	HiH Retrofonts
HiStroke	HiStroke
Hitarth Consultants	Hitarth Consultants
hoefler & frere-jones	Hoefler Type Foundry
Hoefler Type Foundry	Hoefler Type Foundry
Holiday Keikaku	Holiday Keikaku
Homemade Fontaid	Homemade Fontaid
Honeii Market	Honeii Market
honey&death	Honey And Death
Hook Publishing	Hook Publishing
Horizon Graphics	Horizon Graphics
Horrorfind	Horror Find
horstkgrafix	HorstkGrafix.de
Hot?Metal?Type	Hot Metal Type
HotMind Software	Hotmind Software
Houghton Miflin	Houghton Mifflin
Houghton Mifflin	Houghton Mifflin
HourGlass	Hour Glass
House Industries	House Industries
?Lime 200?	House Of Lime
House of Lime	House Of Lime
house.r	House R
housestyle	Housestyle
HPLHS	HPLHS
Hrycak Graphics	Hrycak Graphics
Huerta Tipografica	Huerta Tipografica
HugWare	Hug Ware
Human Computers	Human Computers
Hung Lan	HungLan Artdesign
Hunglan	HungLan Artdesign
Hannes von Doehren	HVD Fonts
Hannes von D?hren	HVD Fonts
hwan fontdesign	hwan fontdesign
Hyatt Art	Hyatt Art
Hydro.seven.four	Hydro 74
HypeForType	HypeForType
Hyperion Graphics	Hyperion Graphics
Hypno Design	Hypno Design
Hyrax	Hyrax
Hyundai Media Systems	Hyundai Media Systems
IAmCallingYou	I Am Calling You
ibm corp	IBM Corp
IceWorks Inc	Ice Works Inc
IcedEarth	Iced Earth
Ichihara-Marines	Ichihara Marines
icompile.co	Icompile
Icon Design	Icon Design
xoom.com/iconianfonts/	Iconian Fonts
Iconian Font	Iconian Fonts
iconianfonts	Iconian Fonts
ICQgirl	ICQgirl
IDAutomation	ID Automation
ID Software	ID Software
idc, IIT Bombay	IDC Bombay
Idea2Design	Idea 2 Design
Identikal	Identikal Corp
IFD Casual Conceptions	IFD Casual Conceptions
IgnitionStudio	Ignition Studio
iGraphicz	iGraphicz
1990-1993  IIGS	IIgs
Illegal Industries	Illegal Industries
Illinois Shakespeare Festival	Illinois Shakespeare Festival
image club graphic	Image Club Graphics
Imagecon Studios	Imagecon Studios
ImageLine	ImageLine
imagexs	Imagexs
Imitation Warehouse	Imitation Warehouse
Immortal Graphics	Immortal Graphics
Immortalware	Immortalware
Impact Communications	Impact Communications
Imre Reiner	Imre Reiner
IMSI MasterFonts Collection	IMSI MasterFonts Collection
Incinerator	Incinerator
InClipz	InClipz Graphics
Indian Express	Indian Express
Indian Futures & Options	Indian Futures & Options
Indigenous Languages Project	Indigenous Languages Project
InDigest AvantFonts	Indigest Avant Fonts
Infogrames	Infogrames
InfoMedia	InfoMedia
Informatics	Informatics
Information-in-Motion	Information-in-Motion
ingofont	Ingofont
Ingonyama Galleries	Ingonyama Galleries
inkdesign	Ink Design
Inka Menne	Inka Menne
Inland Type Foundry	Inland Type Foundry
InsaniType	Insani Type
Insect Font	Insect Font
Inset Systems	Inset Systems
inside consultores	Inside Consultores
Insomnia	Insomnia
inspiregraphics	Inspire Graphics
Inpsire Graphics	Inspire Graphics
Inspire Graphics	Inspire Graphics
Inspire Grapics	Inspire Graphics
Instant Data Systems	Instant Data Systems
institute of estonian language	Institute of Estonian Language
Intecsas	Intecsas
Paulo W	Intellecta Design
Intellecta Design	Intellecta Design
Interdine Design	Interdine Design
Intergraph Corporation	Intergraph Corporation
InterMicro	InterMicro
International J. Font	International J Font
International Research	International Research Corp
intersoft international	Intersoft International
Inventif Systems	Inventif Systems
Io Grafix	IoGrafix
IoGrafix	IoGrafix
Ipanema Gr?fica	Ipanema Grafica
ipanemagrafica.com	Ipanema Grafica
IQ Engineering	IQ Engineering
International Systems Consultancy	ISC.COM
ISF font foundry	ISF Font Foundry
Copyright (c) ISIS	Isis Fonts
Isis Font	Isis Fonts
Isis Type	Isis Type Foundry
istanbulfontfabrik	Istanbul Font Fabrik
International Typeface	ITC
trademark of itc	ITC
internatinal typeface	ITC
Ivan Zeifert Works	Ivan Zeifert Works
jy&a fonts	Jack Yan & Associates
jack yan & associate	Jack Yan & Associates
JaMaCon Associates	JaMaCon Associates
JanWorx	JanWorx
JAPAN BROADCAStING CORPORAtION	Japan Broadcasting Corporation
Japan Overseas Cooperation Volunteers	Japan Overseas Cooperation Volunteers
JAW Fonts	JAW Fonts
jt types ltd	Jeremy Tankard Typography
Jester Font Studio	Jester Font Studio
jestyle	Jestyle
JMD Fonts	JMD Fonts
www.jnkorginals.com	JNK Orginals
JNK ORIGINALS	JNK Originals
jnkorginals.com	JNK Originals
JNKORIGINALS	JNK Originals
JNS Team	JNS Team
Joebob	Joebob Graphics
John Dee Publication Project	John Dee Publication Project
John Nahmias	JonahFonts
JonaFonts	JonahFonts
JonahFonts	JonahFonts
Jones & Jones	Jones & Jones
Joot-Soft	Joot Soft
Journal of Tantric Studies	Journal of Tantric Studies
JPN.ALL	JPN
JS Font Collection	JS Font Collection
JS Technology	JS Technology
JTHZ	JTHZ
judaica software international	Judaica Software International
JukeBox	JukeBox
JulesArt	Jules Art
Jules Collection	Jules Designs
Jules Designs	Jules Designs
JupiterImages Corp	Jupiter Images Corp
Just Another Foundry	Just Another Foundry
Just In Type	Just In Type
JustSystem Corporation	Just System Corporation
Just Us	Just Us
Johan Widegren	JW Type
K. C. Consulatants	K C Consulatants
k?type.com	K Type
KC Fonts	KC Fonts
K22	K22 Type
toto	K22 Type
Kabbalah Software	Kabbalah Software
Kagoma Computers	Kagoma Computers
Kamban Software	Kamban Software
KAPMULTIMEDIA	KAPMULTIMEDIA
Karandash Type & Graphic	Karandash Type & Graphics Foundry
karate graphics ltd	Karate Graphics Ltd
Karen Foster Design	Karen Foster Design
Katsfunfont	Kat's Fun Fonts
katnmi/fonts	Kat's Fun Fonts
katnmi/funfonts	Kat's Fun Fonts
KAT GRAPHICS	Katz Graphics
Katz Grafix	Katz Graphics
KATZ GRAHICS 200? katzfonts	Katz Graphics
Katz Graphics	Katz Graphics
katzfonts	Katz Graphics
katzgrafix	Katz Graphics
KATZGRAPHICS	Katz Graphics
Kaufman Consulting Services	Kaufman Consulting Services
Kazuma Abe	Kazuma Abe
Kejak Fonts	Kejak Fonts
Kenders	Kender's Design Collection
Kender's Collection	Kender's Design Collection
Kender's Design Collection	Kender's Design Collection
Kender's Flower Collection	Kender's Design Collection
Kensington High School	Kensington High School
THE KEYSTONE WORKS	Keystone Works
Keystrokes	Keystrokes Fonts
KickingbirfFonts	Kickingbird Fonts
KickingbirdFonts	Kickingbird Fonts
Kimera Typefoundry	Kimera Typefoundry
KINEMA MOON Graphics	Kinema Moon Graphics
KingThings	King Things
Kinghorn Company	Kinghorn Company
Kingsley	Kingsley Type Corporation
Kinichi Imada Design	Kinichi Imada Design
Kivart	Kivart
Kivun Computers	Kivun Computers
K i w i   M e d i a	Kiwi Media
Kiwi Media	Kiwi Media
Kris Sowersby	Klim Type Foundry
Kludo Studio	Kludo Studio
knightlineproductions	Knightline Productions
Koelooptiemanna Productions	Koelooptiemanna Productions
Kool Type Lab	Kool Type Lab
KozakDesign	Kozak Design
KPN Nederland	KPN Nederland
Kreative Korporation	Kreative Korporation
Kreative Software	Kreative Software
Kung Fu Fonts	Kung Fu Fonts
KunLun Electronic Printing	KunLun Electronic Printing
Kurd It Group	Kurd It Group
kurdsoft	KurdSoft
Kuzumihk71@Fonts	Kuzumihk Fonts
la-laiterie	La Laiterie
La Tipomatika	La Tipomatika
Laffayette Systems	Laffayette Systems
lagalga	lagalga
lakmus design lab	Lakmus Design Lab
Lalantha Graphics	Lalantha Graphics
lanston  type	Lanston Type Company
Lanston?Type Co	Lanston Type Company
lanston\250 type	Lanston Type Company
lao script	Lao Script for Windows
larabiefonts	Larabie Fonts
laser printing solutions	Laser Printing Solutions
LaserPrinting Solutions	Laser Printing Solutions
Laserfonts	Laserfonts
LaserGo	LaserGo
LaserPoint Technologies	LaserPoint Technologies
Latinotype	Latinotype
Laura Worthington	Laura Worthington Type
Lawn Dart	Lawn Dart Fonts
layer3	Layer3
